"PrimaryKey","YearVisited","Shape","geometry"
"OR_VADO_Fuels_2023_NWM-2023-WCL-02_V12023-09-01",2023,c(-1737871.77898867, 943043.874747792),c(NA, NA)
"202349201807B1",2023,c(-1300944.1745757, -412016.848005987),c(NA, NA)
"CO_SWDO_Fuels_2022_AnimasCityMountain-03_V22023-09-01",2023,c(-1039658.68370613, 43668.2643093744),c(NA, NA)
"UT_SLFO_INTS_PRKVLY_2023_ParkValley23-9_V12023-09-01",2023,c(-1466899.7297338, 594166.483203366),c(NA, NA)
"20235637101306B1",2023,c(-1050743.50034224, 591061.072978866),c(NA, NA)
"UT_CoCDO_INTS_HPV_2023_Hamlin_PineValley2023-4_V12023-09-01",2023,c(-1546169.75150891, 226017.221118523),c(NA, NA)
"CO_SWDO_ESR_2022_HunterSeedMix-69_V32023-09-01",2023,c(-1070084.59802105, 272671.72541514),c(NA, NA)
"CA_NCDO_LUP_2019_Observation415_V22023-09-01",2023,c(-1996782.88980452, 602834.04665036),c(NA, NA)
"WY_BFO_LUP_2022_BFO2022-NR-057_V12023-09-01",2023,c(-860163.013886046, 785147.561504955),c(NA, NA)
"2023671204801B2",2023,c(-1835290.34523166, -108663.287397211),c(NA, NA)
"CO_RGFO_LUP_2022_PJ-NR-008_V12023-09-01",2023,c(-849371.905441866, 143106.364906428),c(NA, NA)
"20233213105515B1",2023,c(-1725293.19846164, 661455.417639402),c(NA, NA)
"OR_BUDO_2021_BDO2021-130_V22023-09-01",2023,c(-1864919.91130311, 896571.550862739),c(NA, NA)
"2023567102716B2",2023,c(-936137.232150405, 602439.559728063),c(NA, NA)
"20233221204311B1",2023,c(-1878508.10190139, 332532.201613468),c(NA, NA)
"20231625200109B3",2023,c(-1519487.52650517, 792947.573312695),c(NA, NA)
"CA_NCDO_LUP_2019_NORCALNONR1051_V12023-09-01",2023,c(-1933007.14620816, 690033.358066721),c(NA, NA)
"MT_MCFO_LUP_2023_MCFO2022-103_V12023-09-01",2023,c(-753724.557387338, 1006610.05122411),c(NA, NA)
"NM_RFO_LUP_2023_RFO2023-028_V12023-09-01",2023,c(-828326.783461418, -351225.919847174),c(NA, NA)
"20231637102603B1",2023,c(-1408599.0815089, 854047.548805324),c(NA, NA)
"MT_SDFO_LUP_2022_SDFO2022-079_V12023-09-01",2023,c(-618059.997076747, 877694.349246581),c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-126_V12023-09-01",2023,c(-1557684.40268118, 49559.6822289754),c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-078_V12023-09-01",2023,c(-1152130.78583819, 393118.885719174),c(NA, NA)
"UT_SLFO_LUP_2022_SLFO2022-070_V12023-09-01",2023,c(-1395375.25695884, 431566.590667398),c(NA, NA)
"CO_LSFO_LUP_2021_LSFO-NR-063_V12023-09-01",2023,c(-1026732.35084959, 446339.012607424),c(NA, NA)
"20234915202619B2",2023,c(-1267450.65089445, 288618.99447944),c(NA, NA)
"CO_KFO_LUP_2021_KFO2021-083_V22023-09-01",2023,c(-883479.35080272, 319349.236118043),c(NA, NA)
"2023327108801B2",2023,c(-1595301.84199713, 490464.807561109),c(NA, NA)
"20234125282820B3",2023,c(-1877651.29896114, 862478.648831897),c(NA, NA)
"MT_NCMD_LUP_2022_S15-570_V12023-09-01",2023,c(-1062611.36932551, 1188643.72635681),c(NA, NA)
"CA_NEFO_Grazing_2023_Control-22_V12023-09-01",2023,c(-1753982.40061944, -11410.9232306945),c(NA, NA)
"20231673200810B1",2023,c(-1627290.97837296, 765261.021970671),c(NA, NA)
"CA_NCDO_LUP_2019_NORCALRV1364_V12023-09-01",2023,c(-1982505.53741504, 589298.217757917),c(NA, NA)
"2023671200313B1",2023,c(-1691280.15202193, -158921.611780157),c(NA, NA)
"NM_CFO_LUP_2019_ChiStatic-232_V12023-09-01",2023,c(-784829.44598561, -497272.995916006),c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-007_V22023-09-01",2023,c(-1306815.61384418, 933727.733471968),c(NA, NA)
"MT_MCFO_AIMLite_2023_KnowltonPHXI_V22023-09-01",2023,c(-696503.465924905, 1014142.20425031),c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-139_V12023-09-01",2023,c(-1553818.04310477, -3268.69314453382),c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-060_V12023-09-01",2023,c(-1117173.93235746, 365111.393104684),c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-004_V22023-09-01",2023,c(-1312312.11017016, 945759.549229294),c(NA, NA)
"WY_PFO_LUP_2022_PFO2022-NR-026_V12023-09-01",2023,c(-1137391.56852983, 709450.544465061),c(NA, NA)
"UT_FFO_LUP_2022_FFO2022-038_V12023-09-01",2023,c(-1475539.21547198, 281402.359043349),c(NA, NA)
"CO_SWDO_Fuels_2022_Red_Creek-07_V12023-09-01",2023,c(-968410.201792248, 168553.917065482),c(NA, NA)
"ID_OFO_LUP_2022_LowCM-2022-NR-004_V12023-09-01",2023,c(-1685887.38786625, 823539.739399209),c(NA, NA)
"OR_VADO_ESR_2023_IndianCrk_AS-02_V22023-09-01",2023,c(-1744531.91043528, 910943.796798583),c(NA, NA)
"MT_NCMD_LUP_2022_MLT-098_V12023-09-01",2023,c(-832218.128608862, 1222319.83666116),c(NA, NA)
"20233513201509B2",2023,c(-1052217.63278264, -515314.398899156),c(NA, NA)
"OR_VADOPAC_2021_SC-190_V12023-09-01",2023,c(-1724566.57269864, 792094.229648909),c(NA, NA)
"OR_WFO_ESR_2023_BattCont-04_V12023-09-01",2023,c(-1807499.40748598, 1337064.55137481),c(NA, NA)
"AZ_HFO_WTRSHD2_2023_HFO2023-26_V12023-09-01",2023,c(-1469466.19254074, -227601.883685974),c(NA, NA)
"CO_SWDO_Fuels_2022_SimsMesa2-50_V22023-09-01",2023,c(-1028468.6573695, 154277.686940463),c(NA, NA)
"ID_USFO_LUP_2023_USFO2023-033_V22023-09-01",2023,c(-1371517.37514857, 758211.243144011),c(NA, NA)
"WY_RSFO_LUP_2023_RSFO2023-020_V22023-09-01",2023,c(-1151299.99197484, 596948.001680592),c(NA, NA)
"20234927200116B1",2023,c(-1494304.4109513, 320844.943539017),c(NA, NA)
"CO_GJFO_LUP_2021_GJFO2021-090_V22023-09-01",2023,c(-1039643.25278363, 279696.9042296),c(NA, NA)
"CA_ELFO_NHorse_2023_Ravendale-AMP-3_V22023-09-01",2023,c(-2024916.75203161, 620853.395679782),c(NA, NA)
"MT_MCFO_LUP_2023_MCFO2022-096_V12023-09-01",2023,c(-759197.155719413, 887258.035705676),c(NA, NA)
"UT_KFO_LUP_2016_Shrubland-235_V12023-09-01",2023,c(-1430951.9659621, 153707.477967513),c(NA, NA)
"CO_GFO_LUP_2020_HMP-02_V22023-09-01",2023,c(-955007.667384947, 143664.065607048),c(NA, NA)
"ID_OFO_AIMTrend_2023_02S03W30_V12023-09-01",2023,c(-1663013.85788652, 822082.20100226),c(NA, NA)
"20234145313936B3",2023,c(-1762661.66509857, 800297.658388964),c(NA, NA)
"MT_NCMD_LUP_2022_C-741_V12023-09-01",2023,c(-900253.95022542, 1316592.05329016),c(NA, NA)
"NM_RPFO_LUP_2022_RPFO2022-094_V12023-09-01",2023,c(-1085302.33974946, -171810.435017685),c(NA, NA)
"ID_BFO_LUP_2022_BigWD-NR-003_V12023-09-01",2023,c(-1615971.86280754, 740585.37473432),c(NA, NA)
"OR_PVDO_2021_PDO2021-055_V12023-09-01",2023,c(-1953077.03036238, 982138.417537677),c(NA, NA)
"AZ_SFO_LUP_2021_SFO2021-163_V12023-09-01",2023,c(-1256771.98076603, -435591.666987463),c(NA, NA)
"NM_FFO_LUP_2020_BDLD-048_V12023-09-01",2023,c(-1048245.99133738, -28202.8550053426),c(NA, NA)
"ID_PFO_LUP_2023_PFO2023-025_V22023-09-01",2023,c(-1377207.59101099, 642434.341955111),c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-073_V12023-09-01",2023,c(-1095735.79823166, 430168.062101502),c(NA, NA)
"20233223108214B1",2023,c(-1721932.86950309, 229090.343272449),c(NA, NA)
"CO_UFO_LUP_2023_UFO2023-010_V22023-09-01",2023,c(-1022162.12583279, 189527.039505097),c(NA, NA)
